transaction_number,stock_name,type,quantity
0,IBM,buy,13
1,META,sell,16
2,AMZN,sell,5
3,NFLX,buy,4
4,META,buy,20
5,AMD,sell,15
6,TSLA,buy,15
7,META,buy,2
8,AMZN,sell,11
9,AMZN,buy,8
10,AMD,buy,7
11,APPL,sell,13
12,AMD,buy,2
13,IBM,sell,2
14,META,sell,10
15,IBM,buy,11
16,META,buy,13
17,AMZN,sell,15
18,GOOG,sell,16
19,AMZN,buy,12
20,AMD,sell,20
21,MSFT,sell,2
22,MSFT,buy,7
23,NFLX,buy,8
24,META,sell,4
25,APPL,sell,5
26,NFLX,buy,11
27,IBM,buy,5
28,GOOG,buy,20
29,META,buy,11
30,AMZN,buy,15
31,APPL,sell,20
32,NFLX,buy,16
33,MSFT,sell,14
34,META,sell,16
35,GOOG,sell,20
36,APPL,sell,12
37,AMD,buy,13
38,AMZN,buy,4
39,AMZN,buy,11
40,TSLA,sell,1
41,NFLX,sell,17
42,TSLA,buy,16
43,NVDA,sell,9
44,AMZN,buy,20
45,MSFT,sell,18
46,AMD,sell,7
47,NVDA,buy,17
48,TSLA,buy,4
49,MSFT,buy,4
50,NVDA,buy,15
51,APPL,sell,9
52,NFLX,buy,18
53,IBM,buy,14
54,META,buy,3
55,MSFT,buy,19
56,MSFT,sell,17
57,GOOG,sell,4
58,GOOG,sell,3
59,APPL,buy,7
60,IBM,sell,10
61,AMD,sell,16
62,META,buy,12
63,NVDA,sell,17
64,TSLA,sell,17
65,NFLX,sell,14
66,APPL,buy,13
67,NVDA,sell,6
68,TSLA,sell,14
69,APPL,buy,16
70,MSFT,sell,7
71,TSLA,buy,8
72,APPL,buy,14
73,META,buy,2
74,MSFT,sell,4
75,META,sell,17
76,AMZN,sell,11
77,MSFT,buy,11
78,TSLA,buy,7
79,TSLA,sell,11
80,TSLA,sell,19
81,TSLA,sell,8
82,AMZN,buy,2
83,MSFT,buy,19
84,AMD,buy,5
85,IBM,sell,5
86,MSFT,sell,7
